Model,img
BMW X5,https://prod.cosy.bmw.cloud/bmvis/cosySec?COSY-EU-100-2545J3qAHyFnz5cRoHSWRzMESDsVcRoH7QRzMESV59VMb3G6bUJ1rjGRPixrQbUoaFoGq0zdgt7Rl38mrjGm7SErQbCUQMs2q0zRERW8J13882q0zAaGbbl382hhq0zkRNSQBL4QSW8zLAd8W8J1ExSnQNUMESQdoBo3UQqoQEdcNq0zkdHNqoQqRrjGzIEtN3WCIqx8W8zWu3ndqogqaR2%25l3ilUQ4jcRScH8R4MbnMdo13yJGy536nrQ%25r9R1HW8zWubxdqogqaJh0l3ilUjdocRScH7o3MbnMd0B9yJGy5BgQrQ%25r9YdFW8zWuEfGqogqaGH8l3ilU%25ddcRScHzQBMbnMdg89yJGy5ioBrQ%25r9SbUW8zWunJjqogqaGQFl3ilU%254JcRScHzesMbnMdg7oyJGy5i0BrQ%25r9SDGW8zWun9IqogqaGIvl3ilU%25vecRScHzN7MbnMdgCEyJGy5msbrQ%25r9sRnW8zWuKbIqogqaDJyl3ilUCGpcRScHbeiMbnMdJ70yJGy5Q3drQ%25r98R9W8zWuobSqogqa3Gzl3ilUR3AcRScHb6oMbnMdJCYyJGy5Q4BrQ%25r993UW8zWuuRCqogqaaRdl3ilUUHecRScHHdQMbnMddAzyJGy55EurQ%25r90gbW8zWuBAuqoQLds3%251UMESQJaCMb3Vq0zoaDHdl38vontCcYiGb8l38NrjGl3guUHqoQUyFnHm
BMW M8,"https://cache.bmwusa.com/cosy.arox?pov=walkaround&brand=WBBM&vehicle=258L&client=byoc&paint=P0300&fabric=FLKSW&sa=S01MA,S01TH,S0302,S0319,S0322,S03MF,S0415,S0416,S0453,S04GQ,S04HB,S04MC,S04NB,S05AC,S05AZ,S06AC,S06AK,S06C4,S06NW,S06U3,S06WD,S0712,S0760,S0776,S07M9,S07MA&angle=30"
BMW iX,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBwgHBgkIBwgKCgkLDRYPDQwMDRsUFRAWIB0iIiAdHx8kKDQsJCYxJx8fLT0tMTU3Ojo6Iys/RD84QzQ5OjcBCgoKDQwNGg8PGjclHyU3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3N//AABEIAKgAtAMBIgACEQEDEQH/xAAcAAABBQEBAQAAAAAAAAAAAAAAAgMEBQYHAQj/xABKEAABAwIDBAYGBgUICwAAAAABAAIDBBEFEiEGEzFBFCJRYXGBBzJCkaHBI1JicoKxFTPC0fAkQ2NzkqLS4RYXNERFU1SDo7Lx/8QAGQEBAQEBAQEAAAAAAAAAAAAAAAIBAwQF/8QAIxEBAAIBBAICAwEAAAAAAAAAAAECEQMSEyExQVFhBBQicf/aAAwDAQACEQMRAD8A7ihCEAhCEAhCEAhCEAhCEAhCEAhCEAhCEAhCEAhCEAhCEAhCEAhMVNRDTMz1E0cTBxL3AD4rPVu3mz9ISwVpqX8m0sbpb+YFveQtiJnxDJtEeZadC59Vek2Nl+i4RUHsdUSsj+Fyqar9KGJ2O7gwuDvfOX/uV8VvaOSrrRQuJSelDHLHLiWEDwpnH9pNj0j7SSD6LF8LJ+1TW+acMs5YdxXq4MPSNtZRziTEpWz0p1vSRxtPkSCpkXpeY8etiYPMOMAI/wDGpmlq+VReJdsQuNt9K4vocQPjuz+wpUXpWH1ag/eYw/kFOFbodaQuZ0/pRgceu2T8UI/xBWtH6Q6CdwDg2/eHN/K6YMw3CFRUe01FVAZc9+1ozD9/wUp2OYdGbTz7gnQb6N0d/wC0AjVmhIjc17A5jg5pFwQeKWgEIQgEIQgEIQgEIQg+WsV2xnq3GQUr5HF2ktZIZHfE/JVUuO4vVC5q90w8mDT3BPVGDvbiE1PHKJ2RSFgmYDleBoS2/L/7zUkUkkf0Yp6UsHAyRBzj4lVOpb3LnGnE+IUjzNN+tqJn997KRDRBmFT1b2ZvYYXa88v5lbzZzAcExHBq6rxGijjnoQ50r4KiRrS3KSDYuNuBHkqvF4sNgwaipI6ykHWGcidrrEC5v5m/kpzleMMZ0VoYHPALna6aJG6LbZbt10s4haCdmGRuAdXQcOAube4JDZcHJsKvN25YXn5LJltK5M4RXzQEx1AL4HGzg650/jzCMWw807xVUwO7dckfV7lY4UcIrcUpcOhllEtVOyFrnRWALja9ye9a3abCKajr6+GipHGho4oTUsvmEAffKTrfL1Tr7JPYTbtp39W8OepTHcOdUTaqrJbSU807m+sIYy7Lfhe3BWFRheLUVG+sqsPqIaeOxc+VoaNTYcT2kKZQVlZsjjDK+kLpqOYASx3sJmX7+Dhy7DftKvvSltBQVmz+GQ4XNvY65/SH24sY3QNd2HMdR9lTek08lP6YiGsJAYT87qcyq3bR1T4hyh7K0AxLaPDKGoBEVTOI721NwbWSPpqSslp53Wnhe6N+lzdpsePvXOJyu9MNPg1bV1NVHTUOZ0r+AaeHeexbehxTaTDm2qIZZYuYDmysPkLpn0bPo8QwZ4hpYIq2mcGVRijDXStNy15txuOPeCtcKPIRZrrjgbrUTMqXDsUoHzl1FNLg1WbFwp/1Dzf24XdXzFjrxWkp9pn0W7btDCyKFws3Eqa7qZx+17UR4etp9oqurMHgrW2qIQXDVsjeq9p7j/AVX0fGcAJmpHPrKW3XAHXaO9vAjvA5cAiol0uGRkjA6NzXMIuHNNwR3JxczwXEYWlsmztTHQucevQS3NJIeHV5xH7unaFr8H2ip66fodVFJQ4kGlxpJ7XePrMcNHt14tJ4624IpeoXgtrZeoBCEIBCEIPjWSKvo8/Soa2Jx0yyNc3L43UQuzesQfFdeOKYh7ZD/FqbfiEz/wBZS0z/AL0QPyXafxb+kaf5mnX0weA467C8Hx3C4YrvxaOKLeBwAja1xLrg8btJCrZYAwwMDQ0OdewXRJn0klt7hVA88B/JmD4gKPJRYNNbeYLTEt9XLJMPg2S3wWfr6kemW/I07Tlz+rB6VztlAPxUmnogaZsz5WtBf1WE66ePitnLhWz0js0mGSsJ5sq3i3kQVEqsBww5XURnitfPHUnesd2ajKQkaF4t3Cp/Ips6ntmG0zmSB8b7PuHNLXgEa8e5a2h9IGM0k2J1OI0kVY/FYGQVDyDGWhrXhpFtL2eb+AVfNgUbxdkdPGeyGaRn/vnUKXAqxocGRGS403c7HW94aulqRjqHONTM9yewGshkp3YbiEgNKbBr+JjNvWHd29vkqzG8Klw6pc0xtcOXY4ciDzU3DNlaiZ73zVzKFwdp0hurr87grUDCWmk3WJ1FLVU7NI5YKsZmdxb2c1NO/wCLFup3VYbBcakwjF6PE4A109JKJWMl9UnsPcp212LUOLbSz4tQHdx1gbLLA7jFJazxfnqM1/tK8k2RopCX0lW0X/5rbHzKizbL18QuyOKVo9qOxW/rT8s/ZrL3YTaqLZ7aOmqpJx0SUiGqH9G7TNbtabHwuOa7IfSFsUNP07Bfh+qlP7K4Y+mqoDaSnIt2NupEFTC1uWVzGA8c0Th+ScH2csfDtf8Ap9saf+OQH/sy/wCFK/042QI6mNw9/wBFIP2Vx+GKnqDaCqpD3B+vw1+CcNHVwuJFOyccg2oI+acEfJy/Ta7W4ls3UtirsExSj6cJWtlay7d5GdC7KQNQbG/MXTNDtFT1UPQcTyVNOxxDLP1adRmY8atPO4IWRGIQ03+1YPVg/wBc+ysaTabAowM+HvaftzSfJyzg+zldOwraKpoIQZ5n4rhjdekMZepp28t4xo+kaPrsFxxI4lbChrKaup2VNFPHPBIAWSxuDmuHcQuQYdtng8MjX0sDGyDgRO8ke8n4qypNtKCAudTNdTGR2d4jI6x7TbT4LJ0Z9K5YdVQue0/pAiB60rX9xLCfcS1WtLt7g0r2slrYKeR2gZUkwOPgHgA+RKidO0KjUiWuQq1uKwloI1B1BD26/FCnbKsw4xW7SyzT54slMzKAY2kO1Atc6cTx80yNoHH13RO8YmrGmVeGQ8l9GOnhmMtqcZiuCYKR1gSfo7cu7xTdZibo618dNg9HVUmYZJmVe7cW6XJa48VjTK7Re79w52S0TPttcR6dCrmYXT1ToWBszWgWlgmu03F7cDqL24qOWYc7hvW+BBWIbVPHB5HgU4MSkb/OO96RKZq2fRMPP+8SD7zEnoNK71apo/CQskMVkHtk+KdZi8ljrfRVlO1p/wBGB5+iqIXuHAZ7H4qHWYdPD+tjcL88uhUKlxUPe4HinDjD8ro2yybr6vJblmO0GaLXqgAjsaozpKqI3jnkb+L96sv0s212kgc02cbpScpqGA97lMzCsSgfpXEWaGbP2CRoK9bi4cbVeGQy34ljjG7y4qa+ogkF8sbvtBo1UKWOB2uUt8Cnnwf6ZnOFTHqxVER7HhrreY1UbP0d1qauewngCTY+9WdLh/TbmncxxGhBNne5JqcHmj4tc1w1u5p4/LxU2icZiFVmM+UQV+JwDKZ8w+03ih1ZJMLy08L7/Z1KvDtBj1NA1gqqiV0bQGsnaJs/gHNubDvTlPj09WSMR2aw+qBFy51OaZ4AvwLba27ua4cs+4duPPiWWkiicbmncw+Kb3csescrrdivKPFcJgGWswllVvHOLHtr3xvY0nRul26eClRz7K1Fw+LG6Z3D6OWGZjfe1pP+S2NWrOOzONrJ26PFx2hTYKuaRmRriWn2SND4hT8RpcOp6qGKjxCKqY9gfmmpXwu7ALXNyvMdgkwipiw6KGHpr4xI6VkhcIQSdMpbxIF1XLQ47yjRQS5PoxLG36sMrmN9wXqYBxkjqVsjR2NYAvVz56N4bowN04G3Ci70AC6BUOHK69OXLCUY0kxpsVX1gR4J1tUw6EkeKdBoxpBbZTA5h4G68MY5JgyhFeA2UsxXSTDosw0mKTKCkz1QiYXu4D49ybkOQKqxKYl4i5DVRe+2Om0rukieqqK+XdtzG56sbeans2cqAAaiaKJ1r5C8XUzBKR8bBFT7uOokYXz1Ehs2GPTi7kNRw1V/gmBYZi8lXDG7EHSxUplimzsjFRLmaxrMlnFjSXDUuvrfTgvFMzM5l64jDLjD8Qw83hzOb62UG4cpVNWCpjvwcNHNPEKfTwQyUj6rCJ5pI2sMs9DVNG9awAZntc0We3jcgNI5i2qr6+FrctfSnvI+u3nfv/yXTS1JpLnqUixe9LHAi/uU2nxmdhy797fB1lVFwcA4G4PA9qbceS9m95trRHFZiCTUPLed3XHmEh2NUoZpSlz/AK8D92PgsnWTy9SO5A14JqOocw5m2ae0DQ+S5W1oziYdK6M4zEtcMbksOpUFvYapzre8JxuLtkIDoXHv6ht/dWdp6psws8ZXKY020vdXG23pMxavtoosVp7tkcyrdM0gtJfGbEa31F1WVmJ5MbmrHtmqpKiJpfmILuJvoPDkorHfko1WN5VNFr/RtH953Zr7lz16VinS9K1pt20seLQObm6NLrzFrO7wRoR3oVIKWWZokFLJJmAOYRD87WPiNELx4l62Ya97eDi3wKcFXIPazfealQsik0c58ZPapgwYSNu2qbfsy3+aqJtHtG2J9IorXD1mh3holtrW+0wjwKcdglUPVdC78RH5pl2E1zOMGb7rgrjUsydOsnRVwnjdviE+yqHsz+V1Wvo6tnr08w/CUy4OZo8EeIVRrTCJ0oX7ax449ZLFYToRZZ1ryOBI8CnBK9vBx8yqjXn2nhW8smd1u9VkDRNiAzAFubUdwXjKmQG1wb9qXh5/lLn3ALWOOinU1IvHS6V2y0cscxwwGOMuilfnkeRbM7XIO8DU9gzKd6N62amxpvStWGVgz3/pGE/Bp9yuqbGqakpGUGNQQxUMDOixTtyvc5jb23kVwTYk9Zuup4qgx2Gnoa+klwGaGV8xuySkk3jb6AXBAI42s5oPeeK4x26KGjrKrD8UjMMhjnpHgMeDbduZz/jldX9aynM7ZKSIQ0mIQipjiAsIXXLXsA5WcHADsIVps9s5RRV9bXbUuZFNR1AEzJ5Bke8gPvlbd0hJPqjKPtJG1eIUWJCOpwymhjiop9xvY4DC6UPbmF2HW4yHUkpPUkwx4Bic+F3sGw8OSQSpGKuaK5sjbXki1t2hROQXq07Zq8947RakHO14GjQCT5pbxFIA4XYTroEmp1cW9qbA6oI4u0Xnv5dq+CgxwN4+seRa7X3KVBVvYcs7Tr9n+LKKCDZ3ZoB2lW2A0AnkdJJ1mR3Fr263L3fNVpZ3dM1Mbez0coIBabhINnT53C+WFx4fVJPzXuKz0NBUugi3kj2+vYCzT2KLFXMfJHKI7CN4zHTgdLLvq2jbhy04ndls8KhxgYZS/orF46SDdNJYHDV3M6+Q8l4qwyRMJa4S3B4i2vf6y9XDe67CaSTCaWCJrsOpaiVjAHTTAvzHmbE2U2p2kZPGI30VCYmtsxnRIrAd3VW3n9FULb7iQHuJVVU+jasivu4g4dzlzWxMlbSu9WkbH/Vuc0e4GyiyTNJ6ks7fB17fBamp2JxCL+Yf5tVXNs5VRHWJzfJBT7+dvqVJcftxtP5I6XUe0Kd/be4/epcmEVDOLT5ph1DMOLUDDpYnfrMOhd3tLfmExLDRPYbUssTuTg24+BUl0DxxFkgxuagqslObm7x22SsNt0sNvfMHN+CsrOCTbrBzgLjg7sQS8ci34fIGMG9bFOx+nBzOtcnscCFeVGzsmEbGQYliVX0Spc9maHJ1hGfVb25yOsRybxtoE7sdDTYtiuGUc8MEksc5czfSBjcoaXWJ7iOWup8VW+kTFpcaxGYse+Slp5HNhuMuc+1KR9o3tyDQ0DgtzLMQRthgVdhUdFUySNfJPD0kSQkluRxOXhzAte2neUmaqdPhFpHPcOkMbmfYk5WOPEd7wtbRBu0fo+pmFzziWDZ4nWHWMIs5p8mm34Ssbiv0JipgWkwg58oteQ+tp5NHksapcSeX5L8m2UAEgCxI8CrCsaMlnC7gq4sI6xFgECw4ni4+JKXfs0PIdyjB1zdORtfI7LG1zndjQgkQROnlayPiTYeK0ss4wvDSYBd9sjLDQO7fms9TU+IMeXQxTZxyDeCmxwY5IwMEU5aTwe0W+K76UxWO5cr1m0qZ0csj3OLHEk3NxzSmUs7vVjd71p5dnsZhwt1e6WiLmnrUsckZna362UCxHgbqgfidbwdM4W0sQNPgoxT5V/Xoj9HVp4Ru96EdOqj/AD7/AO0hMUP7+n2gYweKbdA08rqSvCua0J9Ew8WqLNhEEg68bXfeCt7Isgy9RsrQS8adh8NFU1OwlFJ6jXN87reZV4WA8UHLKr0ds13cvk5tlTVPo9qW33TWu7dV2oxNKQ6na7ldB8/1WxNbFf8Akz/Eaqqn2cqIjqxw+8F9IuomO4tUWbB4JQQ+MOHeEHzTLQ1VF9NG0gtN7g8E9LU4didpKwTU0trF1OGua7vyu9U+B05AcF3it2Kwur6r6bKT7TDZZLFvQ/R1ErpaPEamnc7i0xtc0oObvxSGihezCnTRvkY6KaZxDTIx3rNsP33WcnqATr5LpdZ6GsZa49HxemeOQdC4fNVb/Q/jrHXkeyXtDHWugwH0k7w1qlbkbvdEXbz1W0/1a4xCNKWUAdgukHYfE2aOp5h4tQYttDC3UMB8dVJZ1BZjQ3wFlqhsjWN4wSf2Sls2Tq/+nkP4T+5BlbuPMjwXoDj7Tvetg3ZGsdwpZD+AqTFsVXnhSyjwbZBhhA8m4c+/cUh2FMkdeRtyeZOpXSYdgq93GmPmVYQ+j+sNrsA8Sg5SMBgI9X+8f3oXY2+j2a2r2heoOroQhAIQhAIQhAIQhB4UL1CDyy8ISkIE5V4WA8UtCBG7avDE3sunEIGjCw8WjzXggj+qPJPIQNbiPk1G5Z9VOoQNiJvZZG6aE4hAjdtQloQCEIQCEIQCEIQCEIQCEIQCEIQCEIQCEIQCEIQCEIQCEIQCEIQf/9k="
BMW i8,https://cdn-www.pod-point.com/i8-coupe-white-background.jpg?v=1548764851
BMW i3,https://cdn.jdpower.com/Models/640x480/2015-BMW-i3-Base.jpg
BMW Z4,https://www.bmw.co.id/content/dam/bmw/common/all-models/z-series/roadster/2022/highlights/bmw-z-series-z4-roadster-ms-aerodynamic.jpg
BMW 4 Series,https://www.bmw.co.uk/content/dam/bmw/common/all-models/4-series/gran-coupe/2024/navigation/bmw-4-series-gran-coupe-modelfinder.png
BMW X3,https://images.dealer.com/ddc/vehicles/2024/BMW/X3/SUV/still/front-left/front-left-640-en_US.jpg
BMW X7,https://prod.cosy.bmw.cloud/bmvis/cosySec?COSY-EU-100-2545J3qAHyFnz5cRoHSWRzMESVDbIHyJR5BoJirjGpuaprQbzAQd82q0zJXnTqoQdRH7RzcYi9t5EFMb3Kq0zKBGjqoQedorDNcYiJjJl382b33NcYitH%25emMb3NZZcYiwJ6GoExmoGl3ixt93l382jTG%25o6drjGo9RbUEJecRoj9y6cYiw956cRocJq0zqaRu3l3ilUQI8cRScH8ZuMbnMdoPeyJGy53LlrQ%25r9Y3CW8zWuEJjqogqaFQFl3ilUjQzcRScH78IMbnMd0zJyJGy5BHErQ%25r9YpHW8zWunUUqogqaGb7l3ilU%25JdcRScHzo9MbnMdg3YyJGy5iRBrQ%25r9SnbW8zWunDjqogqaGCbl3ilU%25QocRScHzUAMbnMdg43yJGy5ieUrQ%25r9SpDW8zWun8kqogqaGo3l3ilU%25tdcRScHzDmMbnMdeB8yJGy5m3erQ%25r9siwW8zWuon%25qogqa3uJl3ilUR3AcRScHbDBMbnMdJC0yJGy55oarQ%25r99FcW8zWu2bJqogqaIn4l3ilU6uacRox9Dbg2drjGo8HprQbpcYiRH459Mb3VR%25IeyFnzQ3Mb36q0zMbSUd5cRodW7%255K
BMW 3 Series,https://www.bmw-ghana.com/content/dam/bmw/common/all-models/3-series/sedan/2022/navigation/bmw-3-series-sedan-lci-modelfinder.png
BMW 1 Series,https://www.bmw.co.za/content/dam/bmw/common/all-models/m-series/m135i/2024/navigation/bmw-1-series-m135-xdrive-modelfinder.png
